Species.n Year Quarter Age N west consum size
1 1974 1 1 526192 0.003646 0.004 50
1 1974 1 2 1.55184e+006 0.021226 0.03 119
1 1974 1 3 533174 0.055508 0.066 168
1 1974 1 4 568039 0.124231 0.122 220
1 1974 1 5 312184 0.225511 0.192 269
1 1974 1 6 273072 0.371008 0.28 317
1 1974 1 7 101710 0.587014 0.396 369
1 1974 1 8 124987 0.953938 0.565 431
1 1974 1 9 36366 1.7924 0.907 530
1 1974 1 10 9764 3.03818 1.342 629
1 1974 1 11 3013 5.33221 2 749
1 1974 2 1 161310 0.003646 0.004 50
1 1974 2 2 862051 0.023413 0.033 124
1 1974 2 3 642522 0.056349 0.066 169
1 1974 2 4 548117 0.120517 0.119 218
1 1974 2 5 278948 0.226664 0.194 270
1 1974 2 6 292804 0.372985 0.28 317
1 1974 2 7 110104 0.586233 0.396 369
1 1974 2 8 129222 0.95479 0.565 431
1 1974 2 9 37981 1.78992 0.907 530
1 1974 2 10 9907 3.036 1.342 629
1 1974 2 11 2998 5.33052 2 749
1 1974 3 0 -1 -1 0 -1
1 1974 3 1 3.60578e+006 0.003646 0.004 50
1 1974 3 2 400915 0.02434 0.034 126
1 1974 3 3 488418 0.057602 0.067 170
1 1974 3 4 587867 0.12035 0.119 218
1 1974 3 5 255867 0.226173 0.192 269
1 1974 3 6 287418 0.376031 0.282 318
1 1974 3 7 122656 0.586691 0.396 369
1 1974 3 8 142954 0.953144 0.565 431
1 1974 3 9 42567 1.79173 0.907 530
1 1974 3 10 11115 3.03488 1.342 629
1 1974 3 11 3336 5.33081 2 749
1 1974 4 0 -1 -1 0 -1
1 1974 4 1 1.71182e+006 0.003646 0.004 50
1 1974 4 2 1.08603e+006 0.016922 0.025 111
1 1974 4 3 297289 0.058254 0.068 171
1 1974 4 4 519196 0.123268 0.12 219
1 1974 4 5 259706 0.225697 0.192 269
1 1974 4 6 275114 0.376495 0.282 318
1 1974 4 7 127789 0.587815 0.396 369
1 1974 4 8 160008 0.954113 0.565 431
1 1974 4 9 48329 1.79452 0.907 530
1 1974 4 10 12882 3.0347 1.342 629
1 1974 4 11 3852 5.33162 2 749
1 1975 1 1 441297 0.003646 0.004 50
1 1975 1 2 1.28664e+006 0.021155 0.03 119
1 1975 1 3 407650 0.055176 0.066 168
1 1975 1 4 400543 0.1246 0.122 220
1 1975 1 5 244114 0.226393 0.192 269
1 1975 1 6 264400 0.375674 0.282 318
1 1975 1 7 121989 0.588325 0.396 369
1 1975 1 8 164653 0.958307 0.568 432
1 1975 1 9 50795 1.7943 0.907 530
1 1975 1 10 13588 3.03431 1.342 629
1 1975 1 11 4017 5.32719 2 749
1 1975 2 1 134899 0.003646 0.004 50
1 1975 2 2 716842 0.023383 0.033 124
1 1975 2 3 519834 0.05623 0.066 169
1 1975 2 4 406004 0.119743 0.118 217
1 1975 2 5 205623 0.227134 0.194 270
1 1975 2 6 248569 0.376629 0.282 318
1 1975 2 7 115816 0.588232 0.396 369
1 1975 2 8 161676 0.963122 0.568 432
1 1975 2 9 52253 1.79342 0.907 530
1 1975 2 10 13861 3.03385 1.342 629
1 1975 2 11 4042 5.319 1.994 748
1 1975 3 0 -1 -1 0 -1
1 1975 3 1 5.15392e+006 0.003646 0.004 50
1 1975 3 2 336153 0.024216 0.033 125
1 1975 3 3 400441 0.05755 0.067 170
1 1975 3 4 459744 0.119715 0.118 217
1 1975 3 5 188437 0.226147 0.192 269
1 1975 3 6 226158 0.378422 0.284 319
1 1975 3 7 113472 0.588562 0.396 369
1 1975 3 8 163980 0.966981 0.571 433
1 1975 3 9 57130 1.79677 0.907 530
1 1975 3 10 15450 3.03459 1.342 629
1 1975 3 11 4511 5.31505 1.994 748
1 1975 4 0 -1 -1 0 -1
1 1975 4 1 2.4496e+006 0.003646 0.004 50
1 1975 4 2 1.45534e+006 0.016324 0.024 109
1 1975 4 3 247774 0.0581 0.068 171
1 1975 4 4 416000 0.122911 0.12 219
1 1975 4 5 198107 0.225451 0.192 269
1 1975 4 6 209858 0.377551 0.284 319
1 1975 4 7 107939 0.589245 0.396 369
1 1975 4 8 166063 0.970818 0.571 433
1 1975 4 9 62523 1.80271 0.911 531
1 1975 4 10 17694 3.03632 1.342 629
1 1975 4 11 5215 5.31418 1.994 748
1 1976 1 1 629207 0.003646 0.004 50
1 1976 1 2 1.80249e+006 0.021042 0.03 119
1 1976 1 3 489138 0.054421 0.065 167
1 1976 1 4 337669 0.12336 0.12 219
1 1976 1 5 191604 0.226183 0.192 269
1 1976 1 6 201945 0.375609 0.282 318
1 1976 1 7 96976 0.589223 0.396 369
