Year Quarter.no Area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean  Predator.size Prey.no Prey.length.class Prey.length.mean Prey.weight Prey.size size.ratio N.haul stomcon stomcon.input use_like use_avail stom.type  Y YQ YQP YQPL YQPLP YQPLPL
1974 1 1 1 1 3 150 177 0.0482435 0 0 9999 9999 9999 207261 17 1 1 1 1 1 1 1 1 1 1 0
1974 1 1 1 1 4 200 225 0.0990984 0 0 9999 9999 9999 100900 36 0.989469 0.973535 1 1 1 1 1 1 2 2 0
1974 1 1 1 1 4 200 225 0.0990984 2 2 77 0.00248 0.00248 0.0250256 36 0.00011425 0.00011425 0 0 1 1 1 1 2 3 2
1974 1 1 1 1 4 200 225 0.0990984 2 3 92 0.00434 0.00434 0.0437948 36 0.00079408 0.00079408 0 0 1 1 1 1 2 3 3
1974 1 1 1 1 4 200 225 0.0990984 2 4 109 0.00749 0.00749 0.0755814 36 0.00019569 0.00019569 0 0 1 1 1 1 2 3 4
1974 1 1 1 1 4 200 225 0.0990984 2 5 129 0.01268 0.01268 0.127954 36 1e-08 1e-08 0 0 2 1 1 1 2 3 5
1974 1 1 1 1 4 200 225 0.0990984 2 6 149 0.0199 0.0199 0.20081 36 0.0105313 0.00147279 1 1 1 1 1 1 2 3 6
1974 1 1 1 1 4 200 225 0.0990984 2 7 169 0.02951 0.02951 0.297785 36 0 0.00888894 0 1 1 1 1 1 2 3 7
1974 1 1 1 1 4 200 225 0.0990984 2 8 189 0.04187 0.04187 0.422509 36 0.0149994 0.0149994 0 0 1 1 1 1 2 3 8
1974 1 1 1 1 5 250 268 0.167465 0 0 9999 9999 9999 59708.1 57 0.798148 0.772354 1 1 1 1 1 1 3 4 0
1974 1 1 1 1 5 250 268 0.167465 2 2 77 0.00248 0.00248 0.0148091 57 0.16405 0.0318212 1 1 1 1 1 1 3 5 2
1974 1 1 1 1 5 250 268 0.167465 2 3 92 0.00434 0.00434 0.0259159 57 0 0.0495388 0 1 1 1 1 1 3 5 3
1974 1 1 1 1 5 250 268 0.167465 2 4 109 0.00749 0.00749 0.0447258 57 0 0.0169268 0 1 1 1 1 1 3 5 4
1974 1 1 1 1 5 250 268 0.167465 2 5 129 0.01268 0.01268 0.0757174 57 0 0.00700988 0 1 1 1 1 1 3 5 5
1974 1 1 1 1 5 250 268 0.167465 2 6 149 0.0199 0.0199 0.118831 57 0 0.0534521 0 1 1 1 1 1 3 5 6
1974 1 1 1 1 5 250 268 0.167465 2 7 169 0.02951 0.02951 0.176216 57 1e-08 1e-08 0 0 2 1 1 1 3 5 7
1974 1 1 1 1 5 250 268 0.167465 2 8 189 0.04187 0.04187 0.250023 57 1e-08 1e-08 0 0 2 1 1 1 3 5 8
1974 1 1 1 1 5 250 268 0.167465 2 9 209 0.05736 0.05736 0.34252 57 1e-08 1e-08 0 0 2 1 1 1 3 5 9
1974 1 1 1 1 5 250 268 0.167465 2 10 229 0.07635 0.07635 0.455917 57 0.0320642 0.0320642 0 0 1 1 1 1 3 5 10
1974 1 1 1 1 5 250 268 0.167465 3 2 64 0.00154 0.00154 0.00919596 57 0.0378016 0.00165949 1 1 1 1 1 1 3 6 2
1974 1 1 1 1 5 250 268 0.167465 3 3 74 0.00242 0.00242 0.0144508 57 0 0.00331974 0 1 1 1 1 1 3 6 3
1974 1 1 1 1 5 250 268 0.167465 3 4 84 0.00358 0.00358 0.0213776 57 0 0.00637203 0 1 1 1 1 1 3 6 4
1974 1 1 1 1 5 250 268 0.167465 3 5 94 0.00506 0.00506 0.0302153 57 0 0.00873746 0 1 1 1 1 1 3 6 5
1974 1 1 1 1 5 250 268 0.167465 3 6 104 0.00692 0.00692 0.0413221 57 0 0.0060328 0 1 1 1 1 1 3 6 6
1974 1 1 1 1 5 250 268 0.167465 3 7 114 0.00919 0.00919 0.0548772 57 0 0.00840748 0 1 1 1 1 1 3 6 7
1974 1 1 1 1 5 250 268 0.167465 3 8 124 0.01192 0.01192 0.0711791 57 0 0.00205095 0 1 1 1 1 1 3 6 8
1974 1 1 1 1 5 250 268 0.167465 3 9 134 0.01516 0.01516 0.0905265 57 0.00025282 0.00025282 0 0 1 1 1 1 3 6 9
1974 1 1 1 1 6 300 317 0.277139 0 0 9999 9999 9999 36079.4 25 0.431535 0.430896 1 1 1 1 1 1 4 7 0
1974 1 1 1 1 6 300 317 0.277139 2 3 92 0.00434 0.00434 0.01566 25 0.51752 0.332311 1 1 1 1 1 1 4 8 3
1974 1 1 1 1 6 300 317 0.277139 2 4 109 0.00749 0.00749 0.0270262 25 1e-08 1e-08 0 0 2 1 1 1 4 8 4
1974 1 1 1 1 6 300 317 0.277139 2 5 129 0.01268 0.01268 0.0457533 25 0 0.184442 0 1 1 1 1 1 4 8 5
1974 1 1 1 1 6 300 317 0.277139 3 2 64 0.00154 0.00154 0.00555679 25 0.00088004 0.00088004 0 0 1 1 1 1 4 9 2
1974 1 1 1 1 6 300 317 0.277139 3 3 74 0.00242 0.00242 0.00873209 25 0.0509453 0.00293771 1 1 1 1 1 1 4 9 3
1974 1 1 1 1 6 300 317 0.277139 3 4 84 0.00358 0.00358 0.0129177 25 0 0.0101281 0 1 1 1 1 1 4 9 4
1974 1 1 1 1 6 300 317 0.277139 3 5 94 0.00506 0.00506 0.018258 25 0 0.00819164 0 1 1 1 1 1 4 9 5
1974 1 1 1 1 6 300 317 0.277139 3 6 104 0.00692 0.00692 0.0249695 25 0 0.0122603 0 1 1 1 1 1 4 9 6
1974 1 1 1 1 6 300 317 0.277139 3 7 114 0.00919 0.00919 0.0331603 25 0 0.0110607 0 1 1 1 1 1 4 9 7
1974 1 1 1 1 6 300 317 0.277139 3 8 124 0.01192 0.01192 0.043011 25 0 0.00487114 0 1 1 1 1 1 4 9 8
1974 1 1 1 1 6 300 317 0.277139 3 9 134 0.01516 0.01516 0.0547019 25 0 0.00142016 0 1 1 1 1 1 4 9 9
1974 1 1 1 1 6 300 317 0.277139 3 10 140 0.01717 0.01717 0.0619546 25 0.00060181 0.00060181 0 0 1 1 1 1 4 9 10
1974 1 1 1 1 7 350 371 0.444264 0 0 9999 9999 9999 22506.9 15 0.137076 0.137076 1 1 1 1 1 1 5 10 0
1974 1 1 1 1 7 350 371 0.444264 2 4 109 0.00749 0.00749 0.0168594 15 0.756594 0.756594 1 1 1 1 1 1 5 11 4
1974 1 1 1 1 7 350 371 0.444264 3 6 104 0.00692 0.00692 0.0155763 15 0.10633 0.10633 1 1 1 1 1 1 5 12 6
