Year Species.n yield CWsum Fbar.anno Fbar SSB TSB recruit value
2059 16 85823.5 85823.5 0.348403 0.35 291345 370213 3.78655e+06 288637
2059 17 49515 49515 0.199821 0.2 280081 328250 2.12873e+07 56702
2059 18 48589.2 48589.2 0.299999 0.3 144951 200318 4.89649e+06 64849.4
2059 19 125620 125620 0.4 0.4 250427 432335 219603 202499
2059 20 901036 901036 0.27 0.27 3.43967e+06 3.86072e+06 3.90308e+06 907810
2059 21 405108 405108 0.250323 0.26 1.46264e+06 1.76967e+06 3.6267e+07 138496
2059 22 284142 284142 0.268167 0.25 755835 1.11124e+06 1.73425e+08 56828.4
2059 23 322548 322548 0.446052 0.4 371413 1.09559e+06 1.41494e+08 64509.6
2059 24 39707.3 39707.3 0.235677 0.438605 145548 359651 1.0422e+08 7941.47
2059 25 183197 183197 0.701917 0.9 201557 367775 1.32957e+08 36639.4
2059 26 174346 174346 0.28449 0.28449 535409 638676 1.50795e+06 275744
2059 27 14065.8 14065.8 0.2 0.2 57303.8 72056 181599 149947
