par species
Ftarget 16
Ftarget 17
Ftarget 18
Ftarget 19
Ftarget 20
Ftarget 21
Ftarget 22
Ftarget 23
Ftarget 24
Ftarget 25
Ftarget 26
Ftarget 27
avg_yield 16
avg_yield 17
avg_yield 18
avg_yield 19
avg_yield 20
avg_yield 21
avg_yield 22
avg_yield 23
avg_yield 24
avg_yield 25
avg_yield 26
avg_yield 27
yield_ly 16
yield_ly 17
yield_ly 18
yield_ly 19
yield_ly 20
yield_ly 21
yield_ly 22
yield_ly 23
yield_ly 24
yield_ly 25
yield_ly 26
yield_ly 27
avg_SSB 16
avg_SSB 17
avg_SSB 18
avg_SSB 19
avg_SSB 20
avg_SSB 21
avg_SSB 22
avg_SSB 23
avg_SSB 24
avg_SSB 25
avg_SSB 26
avg_SSB 27
SSB_ly 16
SSB_ly 17
SSB_ly 18
SSB_ly 19
SSB_ly 20
SSB_ly 21
SSB_ly 22
SSB_ly 23
SSB_ly 24
SSB_ly 25
SSB_ly 26
SSB_ly 27
