"Year","Quarter","Predator","Prey","eatenW"
1974,1,"Cod","Cod",11223.1774329378
1975,1,"Cod","Cod",13318.2772618384
1976,1,"Cod","Cod",14326.4230039673
1977,1,"Cod","Cod",22439.1183983248
1978,1,"Cod","Cod",25387.4326543975
1979,1,"Cod","Cod",19034.1587847461
1980,1,"Cod","Cod",20648.881456442
1981,1,"Cod","Cod",23026.8439054086
1982,1,"Cod","Cod",20935.6075613392
1983,1,"Cod","Cod",18105.7411678131
1984,1,"Cod","Cod",17120.7472318213
1985,1,"Cod","Cod",12395.166818496
1986,1,"Cod","Cod",14754.6446775492
1987,1,"Cod","Cod",12491.6726483713
1988,1,"Cod","Cod",8800.33228945023
1989,1,"Cod","Cod",7419.50073614346
1990,1,"Cod","Cod",6969.07621015092
1991,1,"Cod","Cod",4524.27867411155
1992,1,"Cod","Cod",5682.47601610835
1993,1,"Cod","Cod",4728.04371013929
1994,1,"Cod","Cod",5960.84293634413
1995,1,"Cod","Cod",5086.45532355095
1996,1,"Cod","Cod",4589.35498159193
1997,1,"Cod","Cod",5990.28295595335
1998,1,"Cod","Cod",3947.22590813991
1999,1,"Cod","Cod",2042.43045977739
2000,1,"Cod","Cod",1873.42230589318
2001,1,"Cod","Cod",1782.67376682594
2002,1,"Cod","Cod",1037.28937464555
2003,1,"Cod","Cod",844.246370533041
2004,1,"Cod","Cod",1022.80559159563
2005,1,"Cod","Cod",1171.04096568465
2006,1,"Cod","Cod",1507.12190416972
2007,1,"Cod","Cod",1441.70762505142
2008,1,"Cod","Cod",1192.58531313249
2009,1,"Cod","Cod",994.250632987396
2010,1,"Cod","Cod",1111.64242462629
2011,1,"Cod","Cod",1038.7555281413
2012,1,"Cod","Cod",1038.04840812026
2013,1,"Cod","Cod",1598.93789204395
2014,1,"Cod","Cod",2846.82753665035
2015,1,"Cod","Cod",2526.70084117599
2016,1,"Cod","Cod",1919.24286516695
1974,2,"Cod","Cod",8950.55471883408
1975,2,"Cod","Cod",11098.7347697869
1976,2,"Cod","Cod",8673.74718690752
1977,2,"Cod","Cod",16244.0964707325
1978,2,"Cod","Cod",11454.1551030013
1979,2,"Cod","Cod",12844.2182371649
1980,2,"Cod","Cod",13846.0402752453
1981,2,"Cod","Cod",11919.1932004894
1982,2,"Cod","Cod",14290.6345569536
1983,2,"Cod","Cod",8606.52408442398
1984,2,"Cod","Cod",10703.7512388315
1985,2,"Cod","Cod",5615.69863065094
1986,2,"Cod","Cod",10155.141054827
1987,2,"Cod","Cod",4943.71503406376
1988,2,"Cod","Cod",4584.31154034208
1989,2,"Cod","Cod",4427.56465882613
1990,2,"Cod","Cod",3321.45304118626
1991,2,"Cod","Cod",2700.7072536095
1992,2,"Cod","Cod",3217.03331901812
1993,2,"Cod","Cod",2381.36533211232
1994,2,"Cod","Cod",3821.63981871947
1995,2,"Cod","Cod",2623.71110430956
1996,2,"Cod","Cod",2561.52077320576
1997,2,"Cod","Cod",3779.34538495965
1998,2,"Cod","Cod",1674.15347965494
1999,2,"Cod","Cod",1348.75338198941
2000,2,"Cod","Cod",925.086965346752
2001,2,"Cod","Cod",708.750525360498
2002,2,"Cod","Cod",648.439786412349
2003,2,"Cod","Cod",416.4114942154
2004,2,"Cod","Cod",564.622134594523
2005,2,"Cod","Cod",504.494626041409
2006,2,"Cod","Cod",776.687288784974
2007,2,"Cod","Cod",580.962282949371
2008,2,"Cod","Cod",731.330838567279
2009,2,"Cod","Cod",646.244307180326
2010,2,"Cod","Cod",739.100053134653
2011,2,"Cod","Cod",629.684886109454
2012,2,"Cod","Cod",810.782278772904
2013,2,"Cod","Cod",1140.53607463808
2014,2,"Cod","Cod",1985.87608127874
2015,2,"Cod","Cod",1815.3750383697
2016,2,"Cod","Cod",1626.15548908358
1974,3,"Cod","Cod",12296.9095607958
1975,3,"Cod","Cod",11981.7207265638
1976,3,"Cod","Cod",19632.4065233312
1977,3,"Cod","Cod",26506.2301589358
1978,3,"Cod","Cod",19444.5456390502
1979,3,"Cod","Cod",19587.5509265188
1980,3,"Cod","Cod",24147.1474271686
1981,3,"Cod","Cod",31127.452838798
1982,3,"Cod","Cod",24741.0987196433
1983,3,"Cod","Cod",15621.9060280072
1984,3,"Cod","Cod",17643.389671427
1985,3,"Cod","Cod",11941.5366656987
1986,3,"Cod","Cod",13925.6422150112
1987,3,"Cod","Cod",8749.5585730186
1988,3,"Cod","Cod",7048.16513098585
1989,3,"Cod","Cod",6860.63201147584
1990,3,"Cod","Cod",5154.74160151855
1991,3,"Cod","Cod",4645.28222141963
1992,3,"Cod","Cod",4641.0349723086
1993,3,"Cod","Cod",4365.53749974948
1994,3,"Cod","Cod",5985.6623333899
1995,3,"Cod","Cod",5078.49493835106
1996,3,"Cod","Cod",5683.42023410321
1997,3,"Cod","Cod",6376.29434978906
1998,3,"Cod","Cod",3280.84938753063
1999,3,"Cod","Cod",2155.53456898716
2000,3,"Cod","Cod",1863.72585026328
2001,3,"Cod","Cod",1625.36635961494
2002,3,"Cod","Cod",1795.8177755365
2003,3,"Cod","Cod",1665.89250491568
2004,3,"Cod","Cod",1421.83601863376
2005,3,"Cod","Cod",1902.12805546026
2006,3,"Cod","Cod",1993.58962210893
2007,3,"Cod","Cod",1817.02915566452
2008,3,"Cod","Cod",1810.69201559241
2009,3,"Cod","Cod",1472.59600917064
2010,3,"Cod","Cod",1544.73232851571
2011,3,"Cod","Cod",2128.95379849885
2012,3,"Cod","Cod",2523.57997508518
2013,3,"Cod","Cod",3311.21026916899
2014,3,"Cod","Cod",3790.71798959986
2015,3,"Cod","Cod",3517.74745989217
2016,3,"Cod","Cod",3862.79832788017
1974,4,"Cod","Cod",18496.7116467639
1975,4,"Cod","Cod",21475.497198928
1976,4,"Cod","Cod",31919.7121510728
1977,4,"Cod","Cod",45716.0655893266
1978,4,"Cod","Cod",23699.5127295165
1979,4,"Cod","Cod",35461.3330894124
1980,4,"Cod","Cod",32958.5032201731
1981,4,"Cod","Cod",35710.100993968
1982,4,"Cod","Cod",27783.3304924224
1983,4,"Cod","Cod",24138.0619860415
1984,4,"Cod","Cod",25057.1988865698
1985,4,"Cod","Cod",22257.9937417075
1986,4,"Cod","Cod",16158.1469350178
1987,4,"Cod","Cod",12563.2234933152
1988,4,"Cod","Cod",9893.80142768793
1989,4,"Cod","Cod",9510.30106969903
1990,4,"Cod","Cod",7444.88253105993
1991,4,"Cod","Cod",6939.3901251437
1992,4,"Cod","Cod",7250.02769821409
1993,4,"Cod","Cod",7524.12571908159
1994,4,"Cod","Cod",8791.92467790507
1995,4,"Cod","Cod",7556.47244381397
1996,4,"Cod","Cod",8823.85121034816
1997,4,"Cod","Cod",9220.30359286815
1998,4,"Cod","Cod",2621.52293862736
1999,4,"Cod","Cod",1825.74492450333
2000,4,"Cod","Cod",1895.33171203391
2001,4,"Cod","Cod",1436.33480446888
2002,4,"Cod","Cod",953.898524426765
2003,4,"Cod","Cod",1223.1293331173
2004,4,"Cod","Cod",1322.37398458951
2005,4,"Cod","Cod",1523.15391600864
2006,4,"Cod","Cod",1533.09866139879
2007,4,"Cod","Cod",1285.67209457907
2008,4,"Cod","Cod",1086.25196034491
2009,4,"Cod","Cod",1602.35091742653
2010,4,"Cod","Cod",1776.66621627705
2011,4,"Cod","Cod",1721.08083814982
2012,4,"Cod","Cod",2577.91088535258
2013,4,"Cod","Cod",3996.01495413946
2014,4,"Cod","Cod",4362.87707920588
2015,4,"Cod","Cod",3402.91390779757
2016,4,"Cod","Cod",4489.38235820399
1974,3,"Fulmar","Cod",1974.1654859862
1975,3,"Fulmar","Cod",1188.83352603834
1976,3,"Fulmar","Cod",4255.6388136288
1977,3,"Fulmar","Cod",2984.96908015488
1978,3,"Fulmar","Cod",3091.483686577
1979,3,"Fulmar","Cod",2520.87269174104
1980,3,"Fulmar","Cod",2665.8365507631
1981,3,"Fulmar","Cod",5936.4692344048
1982,3,"Fulmar","Cod",3481.55389439416
1983,3,"Fulmar","Cod",3255.58378502032
1984,3,"Fulmar","Cod",2506.1977873309
1985,3,"Fulmar","Cod",2905.146106785
1986,3,"Fulmar","Cod",1772.44043619656
1987,3,"Fulmar","Cod",1734.60904811012
1988,3,"Fulmar","Cod",1590.05604122664
1989,3,"Fulmar","Cod",1268.43568660458
1990,3,"Fulmar","Cod",1551.255880044
1991,3,"Fulmar","Cod",1660.4996060718
1992,3,"Fulmar","Cod",997.72685453584
1993,3,"Fulmar","Cod",1332.50940804384
1994,3,"Fulmar","Cod",1037.58113232488
1995,3,"Fulmar","Cod",842.28835300896
1996,3,"Fulmar","Cod",1286.61499157152
1997,3,"Fulmar","Cod",628.90384138296
1998,3,"Fulmar","Cod",918.99960374196
1999,3,"Fulmar","Cod",1249.86938216426
2000,3,"Fulmar","Cod",510.894627516
2001,3,"Fulmar","Cod",670.54551340088
2002,3,"Fulmar","Cod",898.18805072022
2003,3,"Fulmar","Cod",1342.8010219026
2004,3,"Fulmar","Cod",1040.16637787868
2005,3,"Fulmar","Cod",1477.76678787296
2006,3,"Fulmar","Cod",875.3264603148
2007,3,"Fulmar","Cod",808.21196676792
2008,3,"Fulmar","Cod",865.64948124928
2009,3,"Fulmar","Cod",629.33812737744
2010,3,"Fulmar","Cod",470.0412480621
2011,3,"Fulmar","Cod",1032.28852813424
2012,3,"Fulmar","Cod",1226.18391454104
2013,3,"Fulmar","Cod",1267.55476534752
2014,3,"Fulmar","Cod",823.38345651952
2015,3,"Fulmar","Cod",719.88669322856
2016,3,"Fulmar","Cod",904.5419901726
1974,3,"G. gurnards","Cod",25140.0411109068
1975,3,"G. gurnards","Cod",10967.5027432386
1976,3,"G. gurnards","Cod",43114.335770688
1977,3,"G. gurnards","Cod",5879.44735030926
1978,3,"G. gurnards","Cod",42638.8306796881
1979,3,"G. gurnards","Cod",1220.91797160333
1980,3,"G. gurnards","Cod",3860.47310759968
1981,3,"G. gurnards","Cod",105965.567808464
1982,3,"G. gurnards","Cod",25474.0857258368
1983,3,"G. gurnards","Cod",18713.1279832853
1984,3,"G. gurnards","Cod",30948.114257346
1985,3,"G. gurnards","Cod",8728.66453698876
1986,3,"G. gurnards","Cod",12100.7792429316
1987,3,"G. gurnards","Cod",7900.0630382076
1988,3,"G. gurnards","Cod",4193.3024791827
1989,3,"G. gurnards","Cod",7996.9101720898
1990,3,"G. gurnards","Cod",13260.15471248
1991,3,"G. gurnards","Cod",12619.887013422
1992,3,"G. gurnards","Cod",15042.8498044968
1993,3,"G. gurnards","Cod",20020.3956712656
1994,3,"G. gurnards","Cod",24468.3257483808
1995,3,"G. gurnards","Cod",20826.3814690308
1996,3,"G. gurnards","Cod",30019.1261935968
1997,3,"G. gurnards","Cod",30132.5679863676
1998,3,"G. gurnards","Cod",33278.062734423
1999,3,"G. gurnards","Cod",65756.8470476632
2000,3,"G. gurnards","Cod",22752.10393092
2001,3,"G. gurnards","Cod",29918.0248827512
2002,3,"G. gurnards","Cod",47247.126918017
2003,3,"G. gurnards","Cod",53796.1134882392
2004,3,"G. gurnards","Cod",43791.611151834
