Year Quarter.no SMS.area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean Predator.weight Predator.size Predator.available.food Diri.p Diri.sum.p Diri.like multinom.like Prey.no  Prey.length.class Prey.length.mean Prey.weight  Prey.size Prey.number.obs Prey.number.prob Obj.N.contrib avail.prey.number.sum N.haul N.samples stomcon  stomcon.hat Residual L.N.bar Prey.avail Prey.avail.part Suit Stom.var obj.contrib stom.input stom.used.all stom.used.like stom.used.avail stom.type
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 93.1021 99.9999 -17.7791 0 0 0 -1 -1 -1 0 0 0 0 50 50 0.951788 0.931022 0.0207658 -1 1e+06 1e+06 1 0.000635843 0 0.951748 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 1.37377 99.9999 -17.7791 0 16 9 110 0.01423 0.01423 0 0 0 0 50 50 0.0104919 0.0137377 -0.0032458 373753 14755.5 14755.5 2.77437 0.000134148 0 0.0104914 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 1.05114 99.9999 -17.7791 0 17 9 115 0.01249 0.01249 0 0 0 0 50 50 0.011551 0.0105114 0.00103964 1.51362e+06 11290.2 11290.2 0.597202 0.000102979 0 0.0115505 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 0 99.9999 -17.7791 0 21 8 90 0.0066 0.0066 0 0 0 0 50 50 4.223e-05 0 0 272876 0 0 0.0363176 0 0 4.223e-05 1 0 0 1
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 0.557761 99.9999 -17.7791 0 21 9 126 0.01912 0.01912 0 0 0 0 50 50 0.00711785 0.00557762 0.00154023 3.64562e+06 5990.86 2531.49 0.0363176 5.4916e-05 0 0.0028118 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 0 99.9999 -17.7791 0 21 10 163 0.04229 0.04229 0 0 0 0 50 50 0 0 0 2.25238e+06 0 3459.37 0.0363176 0 0 0.00430575 1 0 1 1
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 1.72116 99.9999 -17.7791 0 24 8 88 0.00714 0.00714 0 0 0 0 50 50 0.0117956 0.0172116 -0.00541599 6.91844e+06 18486.8 1837.28 0.0371936 0.000167479 0 0.00132062 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 0 99.9999 -17.7791 0 24 9 107 0.01305 0.01305 0 0 0 0 50 50 0 0 0 3.43022e+07 0 16649.5 0.0371936 0 0 0.0104745 1 0 1 1
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 2.19398 99.9999 -17.7791 0 25 7 56 0.00152 0.00152 0 0 0 0 50 50 0.00725587 0.0219398 -0.0146839 2.37508e+07 23565.3 3076.08 0.0852072 0.00021246 0 0.0008827 1 1 1 1
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 0 99.9999 -17.7791 0 25 8 80 0.00467 0.00467 0 0 0 0 50 50 0 0 0 3.36248e+07 0 13379.9 0.0852072 0 0 0.00426226 1 0 1 1
1981 1 1 1 0 15 500 500 5 5 1.07409e+06 0 99.9999 -17.7791 0 25 9 100 0.00914 0.00914 0 0 0 0 50 50 0 0 0 9.12857e+06 0 7109.28 0.0852072 0 0 0.0021106 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0.218029 10.9917 -7.01868 0 0 0 -1 -1 -1 0 0 0 0 50 50 0.0403852 0.0198358 0.0205494 -1 100000 100000 1 0.00162132 0 0.0403852 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 1.4933 10.9917 -7.01868 0 17 9 130 0.01794 0.01794 0 0 0 0 50 50 0.0889451 0.135857 -0.0469121 1.51362e+06 684908 70307.1 2.58916 0.00979012 0 0.0113076 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 17 10 166 0.03718 0.03718 0 0 0 0 50 50 0 0 0 2.27975e+06 0 219460 2.58916 0 0 0.0353542 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 17 11 212 0.07524 0.07524 0 0 0 0 50 50 0 0 0 2.02835e+06 0 395141 2.58916 0 0 0.0422833 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 1.17029 10.9917 -7.01868 0 18 9 131 0.01781 0.01781 0 0 0 0 50 50 0.0159745 0.106471 -0.0904962 908364 536759 108141 6.68443 0.00793339 0 0.00318619 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 18 10 166 0.03504 0.03504 0 0 0 0 50 50 0 0 0 1.82997e+06 0 428619 6.68443 0 0 0.0127883 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 1.03513 10.9917 -7.01868 0 21 8 87 0.00594 0.00594 0 0 0 0 50 50 0.273686 0.0941738 0.179512 272876 474766 5366.86 3.31108 0.00711369 0 0.00353512 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 21 9 126 0.01911 0.01911 0 0 0 0 50 50 0 0 0 3.64562e+06 0 230675 3.31108 0 0 0.189316 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 21 10 150 0.03201 0.03201 0 0 0 0 50 50 0 0 0 2.25238e+06 0 238724 3.31108 0 0 0.0808345 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 2.33108 10.9917 -7.01868 0 22 8 86 0.00186 0.00186 0 0 0 0 50 50 0.197901 0.212077 -0.0141752 2.36927e+07 1.06916e+06 114389 2.59571 0.0139347 0 0.0179241 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 22 9 115 0.00482 0.00482 0 0 0 0 50 50 0 0 0 5.76164e+07 0 720859 2.59571 0 0 0.141661 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 22 10 159 0.01305 0.01305 0 0 0 0 50 50 0 0 0 6.90533e+06 0 233912 2.59571 0 0 0.0383161 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 2.97477 10.9917 -7.01868 0 23 8 86 0.00186 0.00186 0 0 0 0 50 50 0.197901 0.270639 -0.0727371 2.64559e+07 1.36439e+06 118198 2.402 0.0164609 0 0.0179241 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 23 9 115 0.00482 0.00482 0 0 0 0 50 50 0 0 0 7.25563e+07 0 840030 2.402 0 0 0.141661 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 23 10 159 0.01305 0.01305 0 0 0 0 50 50 0 0 0 1.29574e+07 0 406164 2.402 0 0 0.0383161 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 1.76908 10.9917 -7.01868 0 25 7 56 0.00152 0.00152 0 0 0 0 50 50 0.185206 0.160947 0.0242593 2.37508e+07 811396 94388.1 2.61454 0.0112614 0 0.0119955 1 1 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 25 8 80 0.00467 0.00467 0 0 0 0 50 50 0 0 0 3.36248e+07 0 410556 2.61454 0 0 0.0574403 1 0 1 1
1981 1 1 2 0 15 500 500 5 5 5.04138e+06 0 10.9917 -7.01868 0 25 9 111 0.01284 0.01284 0 0 0 0 50 50 0 0 0 9.12857e+06 0 306453 2.61454 0 0 0.115771 1 0 1 1
1981 1 1 3 0 15 500 500 5 5 106558 72.9083 77.6897 -15.7088 0 0 0 -1 -1 -1 0 0 0 0 50 50 0.940661 0.938455 0.00220586 -1 100000 100000 1 0.000733983 0 0.940661 1 1 1 1
1981 1 1 3 0 15 500 500 5 5 106558 1.13692 77.6897 -15.7088 0 17 9 115 0.01249 0.01249 0 0 0 0 50 50 0.0138577 0.0146341 -0.000776395 1.51362e+06 1559.38 1559.38 0.0824844 0.00018325 0 0.0138577 1 1 1 1
1981 1 1 3 0 15 500 500 5 5 106558 0.389837 77.6897 -15.7088 0 18 9 116 0.01264 0.01264 0 0 0 0 50 50 0.0141616 0.00501787 0.00914371 908364 534.695 534.695 0.0465692 6.34479e-05 0 0.0141616 1 1 1 1
1981 1 1 3 0 15 500 500 5 5 106558 0.293769 77.6897 -15.7088 0 21 10 163 0.04201 0.04201 0 0 0 0 50 50 0.00845566 0.00378132 0.00467434 2.25238e+06 402.93 120.494 0.00127342 4.78719e-05 0 0.0016167 1 1 1 1
1981 1 1 3 0 15 500 500 5 5 106558 0 77.6897 -15.7088 0 21 11 222 0.10799 0.10799 0 0 0 0 50 50 0 0 0 1.1357e+06 0 156.177 0.00127342 0 0 0.00481218 1 0 1 1
1981 1 1 3 0 15 500 500 5 5 106558 0 77.6897 -15.7088 0 21 12 258 0.1725 0.1725 0 0 0 0 50 50 0 0 0 574780 0 126.259 0.00127342 0 0 0.00202678 1 0 1 1
1981 1 1 3 0 15 500 500 5 5 106558 1.82072 77.6897 -15.7088 0 24 8 88 0.00714 0.00714 0 0 0 0 50 50 0.0141511 0.0234358 -0.00928478 6.91844e+06 2497.28 248.188 0.00502428 0.000290846 0 0.0015844 1 1 1 1
1981 1 1 3 0 15 500 500 5 5 106558 0 77.6897 -15.7088 0 24 9 107 0.01305 0.01305 0 0 0 0 50 50 0 0 0 3.43022e+07 0 2249.09 0.00502428 0 0 0.0125667 1 0 1 1
1981 1 1 3 0 15 500 500 5 5 106558 1.14014 77.6897 -15.7088 0 25 7 56 0.00152 0.00152 0 0 0 0 50 50 0.00871279 0.0146755 -0.00596273 2.37508e+07 1563.8 204.129 0.00565437 0.000183762 0 0.00105998 1 1 1 1
1981 1 1 3 0 15 500 500 5 5 106558 0 77.6897 -15.7088 0 25 8 80 0.00467 0.00467 0 0 0 0 50 50 0 0 0 3.36248e+07 0 887.893 0.00565437 0 0 0.00511831 1 0 1 1
1981 1 1 3 0 15 500 500 5 5 106558 0 77.6897 -15.7088 0 25 9 100 0.00914 0.00914 0 0 0 0 50 50 0 0 0 9.12857e+06 0 471.773 0.00565437 0 0 0.0025345 1 0 1 1
1981 1 1 4 0 15 500 500 5 5 1.3894e+07 19.9334 27.6955 -18.2693 0 0 0 -1 -1 -1 0 0 0 0 50 50 0.816771 0.719736 0.097035 -1 1e+07 1e+07 1 0.00702954 0 0.816771 1 1 1 1
1981 1 1 4 0 15 500 500 5 5 1.3894e+07 0.574986 27.6955 -18.2693 0 16 9 110 0.01423 0.01423 0 0 0 0 50 50 0.0127831 0.020761 -0.00797789 373753 288453 288453 54.2358 0.000708474 0 0.0127831 1 1 1 1
1981 1 1 4 0 15 500 500 5 5 1.3894e+07 0.444293 27.6955 -18.2693 0 17 9 115 0.01249 0.01249 0 0 0 0 50 50 0.0140736 0.0160421 -0.00196851 1.51362e+06 222888 222888 11.7898 0.000550077 0 0.0140736 1 1 1 1
1981 1 1 4 0 15 500 500 5 5 1.3894e+07 0.37805 27.6955 -18.2693 0 18 9 116 0.01264 0.01264 0 0 0 0 50 50 0.0143822 0.0136502 0.000731973 908364 189656 189656 16.5181 0.0004692 0 0.0143822 1 1 1 1
1981 1 1 4 0 15 500 500 5 5 1.3894e+07 0.536768 27.6955 -18.2693 0 21 9 126 0.01917 0.01917 0 0 0 0 50 50 0.0439961 0.019381 0.0246151 3.64562e+06 269280 67161.1 0.961003 0.000662314 0 0.00754393 1 1 1 1
1981 1 1 4 0 15 500 500 5 5 1.3894e+07 0 27.6955 -18.2693 0 21 10 163 0.04235 0.04235 0 0 0 0 50 50 0 0 0 2.25238e+06 0 91668.5 0.961003 0 0 0.0114293 1 0 1 1
1981 1 1 4 0 15 500 500 5 5 1.3894e+07 0 27.6955 -18.2693 0 21 11 217 0.1012 0.1012 0 0 0 0 50 50 0 0 0 1.1357e+06 0 110450 0.961003 0 0 0.0250228 1 0 1 1
1981 1 1 4 0 15 500 500 5 5 1.3894e+07 0.864645 27.6955 -18.2693 0 22 8 87 0.0019 0.0019 0 0 0 0 50 50 0.00474709 0.0312197 -0.0264726 2.36927e+07 433766 60612.6 1.34647 0.001054 0 0.00051738 1 1 1 1
