Species.n model alfa  beta std
17 100 3.875558e+000 1.500000e+005  4.232347e-001
18 100 4.778281e+000 2.250000e+005  3.134903e-001
19 3 1.607281e+001 0.000000e+000  1.018036e+000
20 100 1.090846e+000 7.500000e+004  4.235139e-001
21 100 4.001640e+000 7.000000e+005  4.149164e-001
22 100 7.180729e+000 4.300000e+005  4.033180e-001
23 1 2.501258e+003 5.787214e-006  4.744663e-001
24 3 1.896430e+001 0.000000e+000  3.419787e-001
25 3 1.379764e+001 0.000000e+000  4.934178e-001
26 3 1.153180e+001 0.000000e+000  6.623242e-001
