year quarter area Species.no Age LengthGroup Length proportion proportion.adjusted Nbar
1981 1 1 17 1 8 90 0.07081 0.07081 863674
1981 1 1 17 1 9 126 0.42871 0.42871 863674
1981 1 1 17 1 10 172 0.32321 0.32321 863674
1981 1 1 17 1 11 221 0.13522 0.13522 863674
1981 1 1 17 1 12 268 0.04205 0.04205 863674
1981 1 1 17 2 10 184 0.00648 0.00648 380525
1981 1 1 17 2 11 230 0.06505 0.06505 380525
1981 1 1 17 2 12 278 0.23846 0.23846 380525
1981 1 1 17 2 13 342 0.54848 0.54848 380525
1981 1 1 17 2 14 437 0.11573 0.11573 380525
1981 1 1 17 2 15 537 0.02579 0.02579 380525
1981 1 1 17 3 12 282 0.00776 0.00776 53258.4
1981 1 1 17 3 13 368 0.14284 0.14284 53258.4
1981 1 1 17 3 14 451 0.38181 0.38181 53258.4
1981 1 1 17 3 15 574 0.42856 0.42856 53258.4
1981 1 1 17 3 16 735 0.03904 0.03904 53258.4
1981 1 1 17 4 13 376 0.01065 0.01065 16468
1981 1 1 17 4 14 463 0.0425 0.0425 16468
1981 1 1 17 4 15 623 0.39286 0.39286 16468
1981 1 1 17 4 16 791 0.55399 0.55399 16468
1981 1 1 17 5 14 448 0.01389 0.01389 9856.76
1981 1 1 17 5 15 651 0.07007 0.07007 9856.76
1981 1 1 17 5 16 851 0.89842 0.89842 9856.76
1981 1 1 17 5 17 1039 0.01762 0.01762 9856.76
1981 1 1 17 6 15 641 0.02205 0.02205 1750.89
1981 1 1 17 6 16 902 0.69185 0.69185 1750.89
1981 1 1 17 6 17 1050 0.28609 0.28609 1750.89
1981 1 1 17 7 15 625 0.00495 0.00495 1190.09
1981 1 1 17 7 16 906 0.42095 0.42095 1190.09
1981 1 1 17 7 17 1062 0.5741 0.5741 1190.09
1981 1 1 17 8 16 944 0.26667 0.26667 324.581
1981 1 1 17 8 17 1066 0.71739 0.71739 324.581
1981 1 1 17 8 18 1205 0.01594 0.01594 324.581
1981 1 1 17 9 16 948 0.07702 0.07702 159.229
1981 1 1 17 9 17 1084 0.87295 0.87295 159.229
1981 1 1 17 9 18 1245 0.05003 0.05003 159.229
1981 1 1 17 10 16 995 0.0891 0.0891 194.283
1981 1 1 17 10 17 1090 0.53758 0.53758 194.283
1981 1 1 17 10 18 1309 0.37331 0.37331 194.283
1981 1 1 18 1 8 86 0.02945 0.02945 8.6453e+006
1981 1 1 18 1 9 135 0.352 0.352 8.6453e+006
1981 1 1 18 1 10 170 0.50757 0.50757 8.6453e+006
1981 1 1 18 1 11 217 0.11098 0.11098 8.6453e+006
1981 1 1 18 2 10 184 0.04145 0.04145 2.93049e+006
1981 1 1 18 2 11 230 0.62326 0.62326 2.93049e+006
1981 1 1 18 2 12 266 0.32079 0.32079 2.93049e+006
1981 1 1 18 2 13 315 0.0145 0.0145 2.93049e+006
1981 1 1 18 3 10 181 0.00185 0.00185 721703
1981 1 1 18 3 11 239 0.16105 0.16105 721703
1981 1 1 18 3 12 274 0.65637 0.65637 721703
1981 1 1 18 3 13 318 0.18072 0.18072 721703
1981 1 1 18 4 10 185 0.00237 0.00237 210918
1981 1 1 18 4 11 239 0.04009 0.04009 210918
1981 1 1 18 4 12 278 0.49576 0.49576 210918
1981 1 1 18 4 13 328 0.46178 0.46178 210918
1981 1 1 18 5 11 240 0.00819 0.00819 52985.6
1981 1 1 18 5 12 282 0.39872 0.39872 52985.6
1981 1 1 18 5 13 333 0.5687 0.5687 52985.6
1981 1 1 18 5 14 419 0.02439 0.02439 52985.6
1981 1 1 18 6 11 225 0.00162 0.00162 18351.6
1981 1 1 18 6 12 283 0.38562 0.38562 18351.6
1981 1 1 18 6 13 331 0.56139 0.56139 18351.6
1981 1 1 18 6 14 433 0.05137 0.05137 18351.6
1981 1 1 18 7 12 281 0.25529 0.25529 4619.38
1981 1 1 18 7 13 325 0.67731 0.67731 4619.38
1981 1 1 18 7 14 434 0.0674 0.0674 4619.38
1981 1 1 18 8 12 295 0.32314 0.32314 744.732
1981 1 1 18 8 13 332 0.58987 0.58987 744.732
1981 1 1 18 8 14 422 0.05769 0.05769 744.732
1981 1 1 18 8 15 525 0.0293 0.0293 744.732
1981 1 1 19 1 8 95 0.00992 0.00992 4.41375e+006
1981 1 1 19 1 9 135 0.31408 0.31408 4.41375e+006
1981 1 1 19 1 10 171 0.61068 0.61068 4.41375e+006
1981 1 1 19 1 11 215 0.06532 0.06532 4.41375e+006
1981 1 1 19 2 10 186 0.03033 0.03033 2.27533e+006
1981 1 1 19 2 11 230 0.3902 0.3902 2.27533e+006
1981 1 1 19 2 12 272 0.48414 0.48414 2.27533e+006
1981 1 1 19 2 13 316 0.09533 0.09533 2.27533e+006
1981 1 1 19 3 11 239 0.02127 0.02127 322980
1981 1 1 19 3 12 280 0.4097 0.4097 322980
1981 1 1 19 3 13 332 0.54869 0.54869 322980
1981 1 1 19 3 14 420 0.02034 0.02034 322980
1981 1 1 19 4 12 282 0.09757 0.09757 40549.5
1981 1 1 19 4 13 345 0.72222 0.72222 40549.5
1981 1 1 19 4 14 430 0.16878 0.16878 40549.5
1981 1 1 19 4 15 528 0.01143 0.01143 40549.5
1981 1 1 19 5 12 286 0.02192 0.02192 5729.76
1981 1 1 19 5 13 356 0.62167 0.62167 5729.76
1981 1 1 19 5 14 439 0.31403 0.31403 5729.76
1981 1 1 19 5 15 538 0.04238 0.04238 5729.76
1981 1 1 19 6 12 280 0.01703 0.01703 1097.15
1981 1 1 19 6 13 370 0.35681 0.35681 1097.15
1981 1 1 19 6 14 440 0.49972 0.49972 1097.15
1981 1 1 19 6 15 552 0.12644 0.12644 1097.15
1981 1 1 19 7 13 388 0.16349 0.16349 3411.74
1981 1 1 19 7 14 437 0.42994 0.42994 3411.74
1981 1 1 19 7 15 571 0.40657 0.40657 3411.74
1981 1 1 19 8 13 367 0.23186 0.23186 552.949
1981 1 1 19 8 14 443 0.35391 0.35391 552.949
1981 1 1 19 8 15 575 0.38594 0.38594 552.949
1981 1 1 19 8 16 793 0.02829 0.02829 552.949
1981 1 1 19 9 14 432 0.2512 0.2512 56.7815
1981 1 1 19 9 15 580 0.7488 0.7488 56.7815
1981 1 1 19 10 13 375 0.09713 0.09713 145.475
1981 1 1 19 10 14 460 0.2192 0.2192 145.475
1981 1 1 19 10 15 604 0.63978 0.63978 145.475
1981 1 1 19 10 16 725 0.04388 0.04388 145.475
1981 1 1 21 1 8 89 0.04597 0.04597 1.31095e+007
1981 1 1 21 1 9 131 0.60765 0.60765 1.31095e+007
1981 1 1 21 1 10 163 0.34637 0.34637 1.31095e+007
1981 1 1 21 2 9 130 0.03188 0.03188 2.41932e+006
1981 1 1 21 2 10 186 0.15161 0.15161 2.41932e+006
1981 1 1 21 2 11 224 0.79107 0.79107 2.41932e+006
1981 1 1 21 2 12 257 0.02543 0.02543 2.41932e+006
1981 1 1 21 3 10 189 0.04353 0.04353 858506
1981 1 1 21 3 11 236 0.53149 0.53149 858506
1981 1 1 21 3 12 263 0.42498 0.42498 858506
1981 1 1 21 4 10 183 0.00084 0.00084 776258
1981 1 1 21 4 11 241 0.09261 0.09261 776258
1981 1 1 21 4 12 268 0.90655 0.90655 776258
1981 1 1 21 5 11 243 0.03503 0.03503 303224
1981 1 1 21 5 12 277 0.91299 0.91299 303224
1981 1 1 21 5 13 306 0.05198 0.05198 303224
1981 1 1 21 6 11 242 0.01261 0.01261 185004
1981 1 1 21 6 12 281 0.86589 0.86589 185004
1981 1 1 21 6 13 307 0.12151 0.12151 185004
1981 1 1 21 7 12 287 0.53457 0.53457 239899
1981 1 1 21 7 13 310 0.46543 0.46543 239899
1981 1 1 22 1 8 87 0.37211 0.37211 1.25115e+008
1981 1 1 22 1 9 116 0.62789 0.62789 1.25115e+008
1981 1 1 22 2 8 94 0.01527 0.01527 5.70646e+007
1981 1 1 22 2 9 129 0.72084 0.72084 5.70646e+007
1981 1 1 22 2 10 165 0.26389 0.26389 5.70646e+007
1981 1 1 22 3 9 135 0.25164 0.25164 1.03494e+007
1981 1 1 22 3 10 173 0.74836 0.74836 1.03494e+007
1981 1 1 22 4 9 141 0.09258 0.09258 6.5415e+006
1981 1 1 22 4 10 181 0.83118 0.83118 6.5415e+006
1981 1 1 22 4 11 207 0.07623 0.07623 6.5415e+006
1981 1 1 23 1 8 92 0.1757 0.1757 3.2056e+007
1981 1 1 23 1 9 114 0.82202 0.82202 3.2056e+007
1981 1 1 23 1 10 156 0.00228 0.00228 3.2056e+007
1981 1 1 23 2 9 142 0.19281 0.19281 7.75095e+006
1981 1 1 23 2 10 164 0.80567 0.80567 7.75095e+006
1981 1 1 23 2 11 209 0.00152 0.00152 7.75095e+006
