

Observed catches

Species: Cod        



Age             1963      1964      1965      1966      1967      1968      1969      1970
         0         0         0         0         0         0         0         0         0
         1     19445     13118    114228    127146     61270     37101      5462    107718
         2     62594     28685     58520     84752     95756    106909     33005     42617
         3      7063     20220     17735     29916     32854     42784     31691     18640
         4      3536      4306      9182      6184     11261     12392     13710     13339
         5      2788      1917      2387      3379      3271      6076      4565      6297
         6      1213      1818       950      1278      1974      1414      2895      1763
         7        81       599       658       477       888       870       588       961
         8       492       118       298       370       355       309       422       209
         9        14        94        51       126       138       151       147       186
        10         7        19        91       219        74       158       199       177

Yield         128799    131064    211657    263781    277705    308469    209258    246924


Age             1971      1972      1973      1974      1975      1976      1977      1978
         0         0         0         0         0         0         0         0         0
         1    305050     42274    112315    140339    170719    233649    549790     58774
         2    192757    247327     49230     74878     63439    183912     99307    254204
         3     17266     48304     55178     11476     18944     18766     26087     17258
         4      6754      5682     14072     15824      4663      6741      4615      9440
         5      7101      2726      2206      4624      7563      1741      2294      3003
         6      2700      3201      1109       961      2067      3071       836      1108
         7       893      1680      1060       438       449       924      1144       410
         8       458       612       489       395       196       131       371       405
         9       228       390        80       332       229        67       263       153
        10       261       147       374       448       216       144       209       120

Yield         417317    390066    276484    262849    246222    309720    353278    330852


Age             1979      1980      1981      1982      1983      1984      1985      1986
         0         0         0         0         0         0         0         0         0
         1    619440   1252297    177157    250252     81211    605546     72504    665992
         2     96999    122460    223566     73747    140869     79022    154827     38221
         3     44653     35056     34901     60510     21687     31281     19111     34413
         4      4035     12316      9019      9567     11900      4264      7823      5814
         5      3395      1965      4118      3476      2830      3436      1377      2993
         6       712      1273       785      2065      1258      1019      1265       604
         7       398       495       604       428       595       437       373       556
         8       140       197       134       236       181       244       173       171
         9       158        74        65        78        90        60        79        69
        10        75       106        78        58        69        83        74        89

Yield         432004    592542    394900    360411    282937    381423    248527    342640


Age             1987      1988      1989      1990      1991      1992      1993      1994
         0         0         0         0         0         0         0         0         0
         1     49647     36942    200504     45932     61576    131989     37729    367480
         2    190476     72509     45109    102988     31950     42124     81859     45674
         3      9800     44172     18685     11985     17230      8684     11030     23010
         4      8723      3134      9866      4339      3310      5007      3094      3330
         5      1534      2557      1002      2468      1390      1060      1530       939
         6      1075       655      1036       310      1053       491       422       561
         7       235       295       251       310       225       329       198       153
         8       215        66       140        54       139        52       105        62
         9        55        63        27        60        28        40        17        35
        10        72        58        51        25        22        35        37        44

Yield         246049    195929    203533    153438    121653    152380    140622    228409


Age             1995      1996      1997      1998      1999      2000      2001      2002
         0         0         0         0         0         0         0         0         0
         1     74594     19970    103302     12985     31118     46275     11652     25912
         2    131357     61986     40069    133115     12838     28683     81619     13220
         3     15828     24863     17379     14223     33749      6472     10389     19182
         4      6467      3264      6044      4595      3348      6697      1702      3174
         5       979      1915      1152      1849      1200      1021      1609       461
         6       349       411       651       392       519       385       215       439
         7       184       166       143       181       185       139       126        65
         8        51        90        44        32        75        40        41        39
         9        18        44        13        12        12        18        20        17
        10        32        22        33        23        12         7        15         7

Yield         208668    145283    147305    144060     91252     85162     94896     76411


Age             2003      2004      2005      2006      2007      2008      2009      2010
         0         0         0         0         0         0         0         0         0
         1     16842     18297     18165     39177     23634     11175     11905     13451
         2     37028     11892     19713     14378     40282     15706     14736     15605
         3      8748      8305      4221      7194      5884     14709      5415      7335
         4      5157      2673      2338      1463      2835      1515      4231      2103
         5       870      1343       679       661       530       898       749      1694
         6       129       204       560       210       207       229       337       309
         7        94        58        63       160        58        89        77       113
         8        25        31        16        30        57        41        37        25
         9        13        11        11         6         9        26        26        12
        10        11         4         7         2         1         9        14        10

Yield          69297     46237     49600     46023     71616     61113     57817     60975
Species: Whiting    



Age             1963      1964      1965      1966      1967      1968      1969      1970
         0    105822    234124     63815     84151    177167    104593   1204263   1185300
         1    549043    137315    342410    516853    971232    828855    374122    606631
         2    745486    364670    147628    342260    213111    516865   1019744     82358
         3     93558    159602    326417     92701    119813    108548    154798    563090
         4     43791     21861     71183    250807     23128     47737     27811     50200
         5      8947     10413      7873     36933     65886      7170     12712     11023
         6      1653      2646      3498      8347      7520     29652      1664      3577
         7         8       414       752      1486       809      1845      5658      1162
         8       134        53       132       461       156       121       656      1449

Yield         233092    141354    176282    242948    207382    237353    319180    286329


Age             1971      1972      1973      1974      1975      1976      1977      1978
         0   1230972    552873    175381    236214    238839    425081    666975    687238
         1    620700    938136   1153018    755217    954765    479081   1004731    417805
         2    106187    314925    660398    976000    403599   1119601    474222    306628
         3     18145     44793    131353    226168    295629    163420    268897    223424
         4    123135      7445     18039     31516     53896     79425     29031     80277
         5     13021     56265      5404      4660      8792     14188     20033      6984
         6      2191      7933     17226      1163      7524      2733      5225      6915
         7       693      3284      2375      5496       109       488       505      1721
         8       596       951       512       393      1437       573       404       273

Yield         174964    208574    286396    323086    276621    326300    289804    205707


Age             1979      1980      1981      1982      1983      1984      1985      1986
         0    476383    332209    516869    101058    668604    157819    186723    225201
         1    615111    265359    162899    192640    205646    323408    203321    576731
         2    459466    416008    346343    114444    184746    175965    141716    167077
         3    204265    286077    266517    245246    118412    124886     82037    169577
         4     90463     90718    102295     88137    131508     49505     37847     46517
         5     26909     52969     27776     26796     37231     59816     14420     13367
         6      3013     10751     12297      6909      8688     13860     17445      3487
         7      1541      1152      3540      2082      1780      2964      3328      3975
         8       290       767       327       484       930       613       903       569

Yield         249693    223016    192216    140245    161688    145637    100210    161470


Age             1987      1988      1989      1990      1991      1992      1993      1994
         0     84863    416924     87326    289173   1058000    259390    628301    218286
         1    267051    430344    331672    258102    135797    230301    223424    191544
         2    368229    307429    173676    501372    194921    167478    172048    158369
         3    122748    179502    191942    127966    184960     87819    125599     97559
         4     85240     39635     78464     84147     36290     91081     46181     51040
         5     11392     17902     14367     31102     25554     11654     45300     18683
         6      4555      2175      5050      1934      5339      6634      3899     17905
         7       928       544       516       719       526      2546      1501      1258
         8      1034       168       334       109       268       112       754       514

Yield         138909    133010    123527    152421    125273    108736    116872    101612


Age             1995      1996      1997      1998      1999      2000      2001      2002
         0   1597900     96514     19001     72289     76975     19700     18011    135847
         1    148170     86318     60945     92556    189162     82544     52566     51338
         2    144023    118910     80471     50361     95416    129582     83086     62462
         3    112416     99644     84336     43323     45920     63706     52076     84600
         4     35649     48303     41975     36295     33921     23913     20799     34659
         5     15062     14088     18304     17627     18271     16198      9256      8098
         6      5117      4638      3333      6343      7443      8758      4826      2048
         7      4472      1281      1012      1416      2021      4309      2233      1461
         8       470      1095       456       405       672      1264      1268       755

Yield         106219     75995     61438     47309     60762     64471     44928     46412


