Cod        

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-4
1974          9067304         181007         397798         200586          0.733
1975          5045504         167864         393695         187349          0.765
1976         18990461         151318         420023         200309          0.837
1977         10053453         122788         404825         174962          0.824
1978         15357928         118196         467824         256398          0.952
1979          8211463         113164         436916         255306          0.771
1980          9007655         126123         458305         267055          0.896
1981         33003124         131204         496373         313503          0.885
1982         12338085         123704         407328         284216          0.956
1983         10423858         106515         381321         247144          0.962
1984         10138521          94238         345115         203321          0.894
1985          8776660          96176         358793         195755          0.906
1986          6406052          84629         292394         169395          0.987
1987          5614181          86594         337109         184639          0.985
1988          4796791          84957         267903         173546          0.960
1989          4658257          77958         221413         127755          1.003
1990          5614698          75407         222007         105385          0.930
1991          5835268          70923         177147          92467          0.930
1992          4522932          67620         184260          98925          0.889
1993          6420231          68564         199345          99600          0.828
1994          6620081          74759         201583         101050          0.844
1995          5825699          82656         236457         136796          0.946
1996          9004305          82959         214403         115187          1.000
1997          6691273          72107         192492          96879          0.902
1998          7516522          71217         216992          88154          0.980
1999         13645293          61480         127939          72998          1.102
2000          5107117          45906         112402          60241          1.043
2001          6752565          51800         134503          48661          1.003
2002          9977410          45130          94782          38654          0.915
2003         11612201          43216          86391          39793          0.912
2004          9111327          36836          73975          25443          0.837
2005         12798226          37486          79396          22881          0.749
2006          8842456          40546          86209          18736          0.806
2007          9616337          50166         101373          21288          0.638
2008         10502974          57155          95719          22763          0.710
2009          8324438          56222          91281          30547          0.730
2010          7069483          53562          91387          33623          0.713
2011         13616610          59942         102808          29212          0.575
2012         15380520          61094          96194          29773          0.526
2013         16132036          63073         104214          28228          0.467
2014         11770861          71913         130461          31783          0.391
2015         11287369          92243         162898          34155          0.332
2016         12851420         111190         172164          35952          0.252
2017                          133909

Whiting    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974         26811745         461863         623872         223467          0.854
1975         26247011         409239         696441         197639          0.857
1976         29046912         479046         787293         229927          0.913
1977         25693363         566556         801946         209262          0.731
1978         31803056         419912         708370         140458          0.664
1979         20057102         448362         727376         165430          0.651
1980         16844330         476168         763157         140035          0.731
1981         22971148         500298         677550         154376          0.651
1982         12479375         359481         487210         110894          0.492
1983         12445980         279809         391426         108669          0.634
1984         15856171         225588         371043         103320          0.760
1985         16066678         256429         371313          70105          0.646
1986         18923788         250545         438235          83275          0.818
1987         17527452         305901         495608          84448          0.934
1988         20713533         317790         447616         103420          0.719
1989         15729863         274870         519408          86518          0.785
1990         15263936         343239         469403          94266          0.721
1991         10617486         289216         410779          85660          0.615
1992         15707031         257540         360116          73493          0.560
1993         12681496         240895         360509          68889          0.703
1994         11038370         229517         340942          61334          0.647
1995         10730143         228750         329033          69625          0.571
1996          5391244         213505         292168          40746          0.523
1997         12077641         178157         227332          40624          0.426
1998         19808453         147945         217428          29785          0.360
1999         20517813         146659         255383          35891          0.461
2000         18004076         177328         287344          35142          0.556
2001         17941694         216529         316336          23738          0.365
2002          9684986         231679         326881          27285          0.287
2003         11281118         211807         247796          15930          0.261
2004         11875975         160484         196379          14207          0.220
2005          9995726         118402         163013          14971          0.229
2006         10007359         104086         142410          18678          0.313
2007         15086220          94297         129079          17021          0.347
2008         11982425          92604         149992          13747          0.357
2009          7008573         110985         159200          17655          0.317
2010         13873889         127885         173753          17612          0.349
2011         14802126         148326         213133          16675          0.302
2012          8449061         157679         199746          13699          0.261
2013         11713673         144553         173629          19212          0.249
2014         12270590         125818         183286          16228          0.234
2015         17031793         143666         201360          17359          0.217
2016         17835307         163996         221745          17333          0.278
2017                          164871

Haddock    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974         47685723         312104         823545         222859          0.768
1975          4684264         141897        1297315         217674          0.911
1976          8830375         159474         904494         213499          0.847
1977         15963697         327205         479285         189074          0.799
1978         21833207         127529         361228         111269          0.849
1979         38211719          76755         488506         111615          0.872
1980         21683800          85970         837527         133632          0.821
1981         26623534         154360         798380         145513          0.580
1982         14346783         368395         767569         201811          0.543
1983         19414669         245147         554752         197210          0.719
1984          6944231         208248         616174         166562          0.839
1985          7483914         141870         520738         178039          0.758
1986         16362486         235403         401713         177443          0.791
1987          2637279         149029         464014         134119          0.902
1988          1870554         112889         360534         113525          0.907
1989          3986200         153563         201600          86575          0.878
1990          7647192          71731         135249          60228          0.832
1991          8266249          43748         182397          58400          0.897
1992         11181194          44737         277824          89018          0.798
1993          4068693          90757         409788         104887          0.923
1994         19262120         109795         376446          86892          0.875
1995          7665710         145583         581839          92823          0.774
1996          6186775         103946         518893          83716          0.874
1997          4324310         204514         380882          94876          0.663
1998          2282478         143231         306975          93522          0.728
1999         23238526         118213         203357          73727          0.972
2000          6627938          67325         581975          61314          1.142
2001          1363616          39569         767130          48942          0.865
2002          2080685         403209         545184          56536          0.707
2003          2525609         278720         318233          43751          0.376
2004          1812997         174377         229393          47965          0.405
2005         12374924         109856         152149          48509          0.450
2006          2735664          68940         300248          39263          0.776
2007          1682652          39176         269918          29104          0.739
2008           925528         151115         219153          29639          0.442
2009          5367508         109013         151749          32306          0.383
2010           718166          89282         236124          30173          0.413
2011           394755          65117         237046          34584          0.546
2012          1081354         172314         192365          35828          0.325
2013           840674         132931         158737          42682          0.281
2014          5283343          89548         127928          39086          0.442
2015          1600657          72245         197995          33830          0.524
2016          2722605          58738         201061          32446          0.269
2017                          187473

Saithe     

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 3-6
1974           270846         550998         855796         295427          0.471
1975           151958         476209         822055         269215          0.545
1976           197082         357686         727047         337275          0.594
1977           161543         283231         591151         214712          0.736
1978           369444         242624         451602         153360          0.436
1979           286462         236756         490443         127289          0.460
1980           283877         221996         478173         130902          0.542
1981           253580         213411         562955         131092          0.494
1982           301590         196678         582396         172109          0.512
1983           579955         202566         560006         178182          0.733
1984           297110         166744         452888         197566          0.617
1985           256536         144667         440999         216339          0.606
1986           158132         129581         496243         195768          0.773
1987           162612         133436         398156         165495          0.666
1988           214642         132794         355236         133605          0.743
1989           199981         110576         289866         107664          0.665
1990           229396         103904         274479         102101          0.592
1991           169425          96402         282885         106147          0.569
1992           504308          94490         311174          98444          0.459
1993           212014         106802         357010         109747          0.600
1994           305852         108157         368652         108216          0.435
1995           141125         135053         570983         120185          0.526
1996           246732         150958         504445         113887          0.458
1997           139268         187683         492782         106296          0.338
1998           339480         188929         423184         105335          0.358
1999           331959         193090         428003         109885          0.470
2000           233734         179868         429382          85254          0.325
2001           187516         188634         487316          90870          0.258
2002           312550         222975         566977         110578          0.357
2003           122149         209254         475837         105491          0.378
2004           169271         256919         529731         104896          0.271
2005           120355         237471         498506         116693          0.319
2006           111356         258863         481404         117897          0.308
2007           193350         241078         423972          93266          0.255
2008           111706         230581         403761         117112          0.393
2009           204532         219671         374449         111031          0.390
2010           179490         207855         388807         102213          0.389
2011           106624         164213         335197          97369          0.350
2012           201772         151976         339503          76731          0.321
2013           220860         161018         352094          78833          0.279
2014           244678         192910         376757          74764          0.277
2015           233300         207263         411297          76477          0.260
2016           232395         209685         451760          66551          0.227
2017                          240652

Mackerel   

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 4-8
1974          4946075        4925329        5570811         604750          0.125
1975          4850930        4745759        5539228         780518          0.166
1976          2961043        4553722        5458092         826864          0.188
1977           794680        4429469        5234804         619776          0.145
1978          2432052        4356131        4877872         735619          0.182
1979          4637675        3858377        4252397         840578          0.222
1980          5380767        2733782        3294239         733063          0.237
1981          6420107        2466353        3287238         750656          0.242
1982          1689849        2476062        3453954         716385          0.238
1983          1117848        2666522        3451808         671927          0.205
1984          6112974        2692835        3088601         633027          0.213
1985          2822021        2541906        3133840         609877          0.192
1986          3237647        2605915        3320836         600246          0.180
1987          4686781        2630330        3210921         654429          0.197
1988          3023609        2605601        3307864         677317          0.217
1989          4091883        2463524        3192675         582714          0.186
1990          2912807        2622160        3256998         624046          0.202
1991          3354474        2741338        3360599         674986          0.243
1992          4232286        2682398        3179758         758475          0.284
1993          4588516        2556339        3125648         823385          0.322
1994          3934190        2490784        3087902         817922          0.343
1995          3201833        2519826        3128804         755210          0.324
1996          3387894        2419642        2935631         561267          0.242
1997          2814509        2422848        2915152         570291          0.233
1998          2869748        2419561        2831908         662343          0.264
1999          3223077        2352727        2757469         636297          0.275
2000          2006834        2218741        2615701         736472          0.323
2001          4073920        2068837        2409919         735748          0.365
2002          5668757        1781995        2173128         770238          0.450
2003          3415742        1748196        2344500         678030          0.433
2004          4605403        2074921        2539650         684412          0.481
2005          7024667        1989783        2544312         549854          0.348
2006          8583989        2195030        3021068         478373          0.288
2007          7346593        2598617        3758042         588318          0.331
2008          7010865        3051048        4300449         622041          0.311
2009          5769365        3514175        4634492         738620          0.288
2010          8236184        3904436        4742903         877019          0.274
2011          8482773        4352254        5303933         947366          0.262
2012          5199691        4290892        5465839         895262          0.239
2013          4455367        4469884        5340573         933733          0.248
2014          6911463        4415185        5078917        1395447          0.330
2015          3137913        4339732        5015910        1215562          0.328
2016          4165976        4275434        4795645        1096450          0.338
2017                         3706102

Herring    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974          7952813         232427         283368         265715          0.710
1975          3158518         178406         228946         253557          1.248
1976          1687337          98973         122229         159146          0.768
1977          2557069          71192          83737          39314          0.155
1978          1788244          84401         103595          11211          0.041
1979          5756899         119958         138937          24508          0.059
1980         18752216         153736         191991          73424          0.101
1981         29140464         217633         319946         208456          0.195
1982         35303097         307775         432089         276798          0.133
1983         27321860         496205         679566         426905          0.336
1984         29724178         744241         954356         455974          0.474
1985         45848334         868592        1107996         655127          0.558
1986         53398845         861365        1144099         749031          0.487
1987         44504630        1069890        1423569        1006570          0.480
1988         23654576        1383732        1699032        1138636          0.477
1989         22016988        1422764        1648444         907971          0.392
1990         18439227        1349624        1485237         735845          0.371
1991         19091896        1189421        1312395         681563          0.407
1992         26557512         941069        1148561         758149          0.541
1993         25916940         690925        1009774         677243          0.719
1994         20462944         655150         862036         584515          0.662
1995         22482025         629594         829050         587287          0.709
1996         25038618         537788         719603         273367          0.282
1997         15351125         684748         923401         262782          0.286
1998         12766043         862652        1113250         379157          0.440
1999         37369177         968458        1146113         369081          0.339
2000         24881238         962174        1236391         421122          0.374
2001         67471534        1351388        1660399         363105          0.285
2002         29053934        1676197        2117624         388261          0.259
2003         17411494        1943637        2793940         485336          0.278
2004         18380387        2100748        2739010         581677          0.291
2005         12768843        2013114        2209032         649916          0.375
2006         15688068        1462549        1640116         500970          0.304
2007         20708927        1151786        1308116         402695          0.239
2008         20836314        1067195        1197727         247283          0.174
2009         21862946        1117182        1249039         159675          0.097
2010         21721132        1129828        1481893         174467          0.119
2011         17805570        1505164        1740879         208914          0.115
2012         17710345        1764627        1881515         410658          0.216
2013         23676726        1645736        1791428         473289          0.272
2014         28531589        1485916        1645247         488280          0.279
2015          8250165        1241491        1546985         453583          0.329
2016         24587607        1275219        1511533         522157          0.380
2017                         1042670

N. sandeel 

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        223798488         239378         973214         220388          0.283
1975        183993436         308472         721999         196585          0.361
1976        197783013         168081         542205         110245          0.276
1977        112697999         166757         642648         271729          0.694
1978        170682109         143359         428645         133700          0.436
1979        350250445         150233         592264         202374          0.170
1980        210157686         284522        1118626         303285          0.519
1981        262058571         264349         707902         152257          0.320
1982        224178674         145647         694237          85899          0.314
1983        174657439         139757         514755          96794          0.124
1984        102310565         218003         550825          98578          0.113
1985        215256963         313257         588120          80732          0.175
1986        290678590         185896         695580         400827          0.391
1987        128270582         252338         811317         403736          0.279
1988        361766926         319498         559644         392180          0.366
1989        139910367         172491         766124         478128          0.742
1990        196101184         156187         490709         249537          0.619
1991        252274560         162054         598644         407222          0.422
1992        266272305         133012         442753         182519          0.260
1993        495956699         227721         750575         239154          0.247
1994        518644941         281603         960956         461713          0.688
1995        328424151         256910        1082168         360391          0.293
1996        793970292         351923        1028443         294888          0.324
1997        136485598         257123        1559424         573485          0.343
1998        164618502         477605         756775         548716          0.482
1999        232111269         206679         518248         273993          0.441
2000        272651073         147507         722078         248873          0.525
2001        181612435         122430         547678         283767          0.342
2002         71443057         106307         460504         158905          0.588
2003        114354648          75170         183515          66184          0.322
2004         61804646          37711         218267          77931          0.675
2005        102169514          36404         156226          23129          0.190
2006        159772509          34819         192021          15643          0.079
2007        141204763          69714         389288          89491          0.251
2008        124472515         112423         409971          86435          0.411
2009        286661536          82297         342452          29641          0.057
2010         47349462         212060         914464          72055          0.131
2011         32191403         313512         476911          95362          0.163
2012        185882353         136376         218623          31556          0.059
