data Species.n Quarter Year fleet Age observed model residual stand.residual s2
catch 21 1 1974 -9 1  2.794670e+05 1.860138e+05 4.070632e-01 4.729144e-01 7.408984e-01
catch 21 1 1974 -9 2  1.449188e+05 1.449710e+05 -3.602334e-04 -4.185089e-04 7.408984e-01
catch 21 1 1974 -9 3  2.910000e+04 8.204762e+04 -1.036562e+00 -1.204248e+00 7.408984e-01
catch 21 1 1974 -9 4  1.738620e+04 1.983681e+04 -1.318623e-01 -1.531938e-01 7.408984e-01
catch 21 1 1974 -9 5  5.490210e+03 6.848766e+03 -2.211020e-01 -2.568700e-01 7.408984e-01
catch 21 1 1974 -9 6  4.500000e+03 2.626765e+03 5.383243e-01 6.254097e-01 7.408984e-01
catch 21 1 1974 -9 7  8.823500e+02 9.470076e+02 -7.071827e-02 -8.215846e-02 7.408984e-01
catch 21 1 1974 -9 8  6.526300e+02 1.186009e+03 -5.973388e-01 -6.661794e-01 8.040057e-01
catch 21 1 1975 -9 1  1.614200e+06 3.955934e+05 1.406208e+00 1.633692e+00 7.408984e-01
catch 21 1 1975 -9 2  1.308000e+05 1.399472e+05 -6.759576e-02 -7.853082e-02 7.408984e-01
catch 21 1 1975 -9 3  1.919261e+04 7.158572e+04 -1.316370e+00 -1.529321e+00 7.408984e-01
catch 21 1 1975 -9 4  7.500000e+03 3.519108e+04 -1.545890e+00 -1.795970e+00 7.408984e-01
catch 21 1 1975 -9 5  7.900000e+03 1.209913e+04 -4.262711e-01 -4.952296e-01 7.408984e-01
catch 21 1 1975 -9 6  2.683330e+03 4.080637e+03 -4.191945e-01 -4.870081e-01 7.408984e-01
catch 21 1 1975 -9 7  1.800000e+03 1.578235e+03 1.314798e-01 1.527495e-01 7.408984e-01
catch 21 1 1975 -9 8  8.228600e+02 1.289379e+03 -4.491302e-01 -5.008904e-01 8.040057e-01
catch 21 1 1976 -9 1  1.500000e+04 7.113225e+04 -1.556491e+00 -1.808286e+00 7.408984e-01
catch 21 1 1976 -9 2  1.661000e+05 7.810174e+04 7.545777e-01 8.766468e-01 7.408984e-01
catch 21 1 1976 -9 3  2.098211e+04 1.585235e+04 2.803521e-01 3.257051e-01 7.408984e-01
catch 21 1 1976 -9 4  8.783110e+03 7.146186e+03 2.062518e-01 2.396174e-01 7.408984e-01
catch 21 1 1976 -9 5  3.300000e+03 5.370517e+03 -4.870017e-01 -5.657846e-01 7.408984e-01
catch 21 1 1976 -9 6  1.000000e+02 1.802613e+03 -2.891822e+00 -3.359637e+00 7.408984e-01
catch 21 1 1976 -9 7  1.000000e+02 6.163608e+02 -1.818662e+00 -2.112870e+00 7.408984e-01
catch 21 1 1976 -9 8  1.272700e+02 4.373347e+02 -1.234388e+00 -1.376645e+00 8.040057e-01
catch 21 1 1977 -9 1  6.225686e+04 1.391836e+04 1.498060e+00 1.740403e+00 7.408984e-01
catch 21 1 1977 -9 2  1.814058e+04 8.446677e+03 7.643783e-01 8.880328e-01 7.408984e-01
catch 21 1 1977 -9 3  1.773000e+05 6.093518e+03 3.370618e+00 3.915887e+00 7.408984e-01
catch 21 1 1977 -9 4  9.400000e+03 1.106686e+03 2.139339e+00 2.485423e+00 7.408984e-01
catch 21 1 1977 -9 5  4.929580e+03 7.037064e+02 1.946648e+00 2.261560e+00 7.408984e-01
