l,Species,y1,y2,q1,q2
50,ALL,1981,1981,1,4
70,ALL,1981,1981,1,4
100,ALL,1981,1981,1,4
150,ALL,1981,1981,1,4
200,ALL,1981,1981,1,4
250,ALL,1981,1981,1,4
300,ALL,1981,1981,1,4
400,ALL,1981,1981,1,4
500,ALL,1981,1981,1,4
700,ALL,1981,1981,1,4
1000,ALL,1981,1981,1,4
1200,ALL,1981,1981,1,4
50,ALL,1982,1989,1,4
70,ALL,1982,1989,1,4
100,ALL,1982,1989,1,4
150,ALL,1982,1989,1,4
200,ALL,1982,1989,1,4
250,ALL,1982,1989,1,4
300,ALL,1982,1989,1,4
350,ALL,1982,1989,1,4
400,ALL,1982,1989,1,4
500,ALL,1982,1989,1,4
600,ALL,1982,1989,1,4
700,ALL,1982,1989,1,4
800,ALL,1982,1989,1,4
1000,ALL,1982,1989,1,4
1200,ALL,1982,1989,1,4
50,ALL,1990,2013,1,4
60,ALL,1990,2013,1,4
70,ALL,1990,2013,1,4
80,ALL,1990,2013,1,4
100,ALL,1990,2013,1,4
120,ALL,1990,2013,1,4
150,ALL,1990,2013,1,4
200,ALL,1990,2013,1,4
250,ALL,1990,2013,1,4
300,ALL,1990,2013,1,4
350,ALL,1990,2013,1,4
400,ALL,1990,2013,1,4
500,ALL,1990,2013,1,4
600,ALL,1990,2013,1,4
700,ALL,1990,2013,1,4
800,ALL,1990,2013,1,4
1000,ALL,1990,2013,1,4
1200,ALL,1990,2013,1,4
